id,ar,latin,tr,siga
5,مَعْبُودٌ,Mağbudun,Kulluk edilen,İsm-i mef’ûl
6,لَمْ يَعْبُدْ,Lemyağbud,Kulluk etmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَعْبُدْ,Lemmayağbud,Henüz kulluk etmedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَعْبُدُ,Mayağbudu,Kulluk etmiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَعْبُدُ,Layağbudu,Kulluk etmeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَعْبُدَ,Lenyagbude,Elbette kulluk etmez,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَعْبُدْ,Liyağbud,Kulluk etsin,Emr-i gâib
12,لَا يَعْبُدْ,Layağbud,Kulluk etmesin,Nehy-i gâib
13,اُعْبُدْ,Uğbud,Kulluk et,Emr-i hâzır
14,لَا تَعْبُدْ,Latağbud,Kulluk etme,Nehy-i hâzır
15,مَعْبَدٌ,Mağbedun,"Kulluk zamanı ,mekanı,mastar mimi","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِعْبَدٌ,Miğbedun,Kulluk aleti,İsm-i âlet
17,عَبْدَتً,Abdeten,Bir kere kulluk etmek,Masdar binâ-i merra
18,عِبْدَةً,İbdeten,Bir çeşit kulluk etmek,Masdar binâ-i nevi
19,عُبَيْدٌ,Ubeydun,Kulcuk,İsm-i tasğîr
20,عَبْدِيٌّ,Abdiyyun,Kulluğa mensup,İsm-i mensûb
21,عَبَّادٌ,Abbadun,Çokca kulluk eden,Mübâlağa-i ism-i fâil
22,أَعْبَدُ,Ağbedu,En iyi kulluk eden,İsm-i tafdîl
23,مَا أَعْبَدَهُ,Maağbedehu,Acayip kulluk etti,Fi’l-i taaccüb-i evvel
24,وَ أَعْبِدْ بِهِ,Veağbidbihi,Ne acayip kulluk etti,Fi’l-i taaccüb-i sânî
1,حَكَمَ,HAKEME,Hükmetti,Fi’l-i mâzî
2,يَحْكُمُ,Yahkümu,Hükmediyor,Fi’l-i muzârî
3,حُكْمًا,Hükmen,Hükmetmek,Masdar-ı gayr-i mimî
4,حَاكِمٌ,Hakimun,Hükmeden,İsm-i fâil
5,مَحْكُومٌ,Mahkümun,Hükmedilen,İsm-i mef’ûl
6,لَمْ يَحْكُمْ,Lemyahkum,Hükmetmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَحْكُمْ,Lemmayahkum,Henüz hükmetmedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَحْكُمُ,Mayahkumu,Hükmetmiyor,Fi’l-i muzârî nefy-i hâl
